epoch,time,train/box_loss,train/pose_loss,train/kobj_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(P),metrics/recall(P),metrics/mAP50(P),metrics/mAP50-95(P),val/box_loss,val/pose_loss,val/kobj_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
47,102.363,0.47301,1.19225,0.54064,0.37935,0.98594,0.96868,0.97297,0.97644,0.87368,0.91486,0.91892,0.90544,0.76179,0.46325,1.35378,0.61657,0.61055,1.02138,0.0010892,0.0010892,0.0010892
48,104.408,0.50212,1.11462,0.54152,0.38883,1.02348,0.99741,0.97297,0.97946,0.88115,0.94182,0.91892,0.89782,0.80463,0.44413,1.32156,0.57603,0.56118,0.98875,0.0010694,0.0010694,0.0010694
49,106.401,0.46531,0.98079,0.56262,0.36585,0.9982,0.99797,0.97297,0.99221,0.89468,0.94253,0.91892,0.93016,0.84287,0.44668,1.04269,0.55967,0.45402,1.00016,0.0010496,0.0010496,0.0010496
50,108.463,0.4823,1.51318,0.55591,0.45306,0.96975,1,0.99663,0.995,0.88535,0.97397,0.91892,0.94758,0.87739,0.43629,0.94006,0.56873,0.35211,0.99328,0.0010298,0.0010298,0.0010298
51,110.497,0.50742,1.23309,0.54509,0.3912,1.02517,0.99608,1,0.995,0.89933,0.97819,0.91892,0.94738,0.87461,0.40146,0.89146,0.572,0.32542,0.98012,0.00101,0.00101,0.00101
52,112.589,0.44952,1.18534,0.53971,0.35611,0.99428,0.97211,1,0.995,0.90526,0.91938,0.94595,0.94741,0.92941,0.47881,0.70662,0.55119,0.40775,1.0078,0.0009902,0.0009902,0.0009902
53,114.626,0.48653,0.96906,0.53871,0.37072,1.00722,0.9698,1,0.99447,0.90266,0.9173,0.94595,0.94175,0.91749,0.44787,0.70931,0.53167,0.33278,0.99715,0.0009704,0.0009704,0.0009704
54,116.69,0.50715,1.32348,0.54314,0.39962,1.02408,0.99802,1,0.995,0.91042,0.94402,0.94595,0.93331,0.91014,0.42586,0.70638,0.50351,0.30846,0.97102,0.0009506,0.0009506,0.0009506
55,118.744,0.48618,1.18892,0.53206,0.37394,1.02413,0.99982,1,0.995,0.90053,0.94557,0.94595,0.93734,0.88936,0.46325,0.72027,0.5118,0.32389,0.98458,0.0009308,0.0009308,0.0009308
56,120.828,0.46032,1.23702,0.52991,0.39009,1.03127,0.9736,0.99671,0.99447,0.90035,0.9208,0.94273,0.94538,0.90406,0.41945,0.71757,0.52316,0.29952,0.97723,0.000911,0.000911,0.000911
57,122.853,0.46389,1.1823,0.5443,0.36836,0.99624,0.99933,1,0.995,0.91284,0.94511,0.94595,0.93735,0.91431,0.415,0.70066,0.53079,0.2958,0.97879,0.0008912,0.0008912,0.0008912
58,124.881,0.4573,1.09547,0.50721,0.3966,0.98492,1,0.99941,0.995,0.91132,0.94592,0.9455,0.91894,0.85273,0.45293,0.92075,0.53259,0.322,1.01678,0.0008714,0.0008714,0.0008714
